create|grassland|10
update|cells|22;22;22;22;22;21;21;20;22;22;22;22;22;22;22;22;21;21;22;22;22;22;22;22;22;22;22;22;21;22;22;22;22;22;22;22;22;22;22;21;20;21;21;22;22;22;22;22;22;20;21;22;22;22;21;22;22;22;21;20;22;22;22;22;22;20;22;21;21;22;22;22;22;22;22;21;22;20;22;21;22;21;21;19;21;21;21;22;21;22;21;21;21;21;21;20;21;21;21;22;
update|animal|3;5;1;17
update|animal|1;20;1;56
update|animal|4;5;1;41
update|animal|2;20;1;19
update|cells|22.1;22.1;22.1;22.1;22.1;21.1;21.1;20.1;22.1;22.1;22.1;22.1;22.1;22.1;22.1;22.1;21.1;20.1;22.1;21.1;22.1;22.1;22.1;22.1;22.1;22.1;22.1;22.1;21.1;22.1;22.1;22.1;22.1;22.1;22.1;22.1;22.1;22.1;22.1;21.1;20.1;20.1;21.1;22.1;22.1;22.1;22.1;22.1;22.1;20.1;21.1;22.1;22.1;22.1;21.1;22.1;21.1;22.1;21.1;20.1;22.1;22.1;22.1;22.1;22.1;20.1;22.1;21.1;21.1;22.1;22.1;22.1;22.1;22.1;22.1;21.1;22.1;20.1;22.1;21.1;22.1;21.1;21.1;19.1;21.1;21.1;21.1;22.1;21.1;22.1;21.1;21.1;21.1;21.1;21.1;20.1;21.1;21.1;21.1;22.1;
update|animal|3;6;1;8
update|animal|1;21;1;46
update|animal|4;6;1;51
update|animal|2;21;1;10
update|cells|22.2;22.2;22.2;22.2;22.2;21.2;21.2;20.2;21.2;22.2;21.2;22.2;22.2;22.2;22.2;22.2;21.2;20.2;22.2;21.2;22.2;22.2;22.2;22.2;22.2;22.2;22.2;22.2;21.2;22.2;22.2;22.2;22.2;22.2;22.2;22.2;22.2;22.2;22.2;21.2;20.2;20.2;21.2;22.2;22.2;22.2;21.2;22.2;22.2;20.2;21.2;21.2;22.2;22.2;21.2;22.2;21.2;22.2;21.2;20.2;22.2;22.2;22.2;22.2;22.2;20.2;22.2;21.2;21.2;22.2;22.2;22.2;22.2;22.2;22.2;21.2;22.2;20.2;22.2;21.2;22.2;21.2;21.2;19.2;21.2;21.2;21.2;22.2;21.2;22.2;21.2;21.2;21.2;21.2;21.2;20.2;21.2;21.2;21.2;22.2;
update|animal|3;7;1;9
update|animal|1;22;1;35
update|animal|4;7;1;41
update|animal|2;22;1;0
update|cells|21.3;22.3;22.3;22.3;22.3;21.3;21.3;20.3;21.3;21.3;21.3;22.3;22.3;22.3;22.3;22.3;21.3;20.3;22.3;21.3;22.3;22.3;22.3;22.3;22.3;22.3;22.3;22.3;21.3;22.3;22.3;22.3;22.3;22.3;22.3;21.3;22.3;22.3;22.3;21.3;20.3;19.3;21.3;22.3;22.3;22.3;21.3;22.3;22.3;20.3;21.3;21.3;22.3;22.3;21.3;22.3;21.3;22.3;21.3;20.3;22.3;22.3;22.3;22.3;22.3;20.3;22.3;21.3;21.3;22.3;22.3;22.3;22.3;22.3;22.3;21.3;22.3;20.3;22.3;21.3;22.3;21.3;21.3;19.3;21.3;21.3;21.3;22.3;21.3;22.3;21.3;21.3;21.3;21.3;21.3;20.3;21.3;21.3;21.3;22.3;
update|animal|3;8;1;8
update|animal|1;23;1;25
update|animal|4;8;1;50
update|animal|2;23;1;9
